Id,quality
1,5
2,5
3,6
4,6
5,5
6,5
7,5
8,5
9,5
10,6
11,5
12,6
13,6
14,6
15,5
16,6
17,6
18,5
19,6
20,6
21,5
22,5
23,6
24,6
25,5
26,5
27,5
28,5
29,5
30,5
31,6
32,6
33,5
34,5
35,5
36,6
37,5
38,5
39,6
40,5
41,5
42,5
43,5
44,5
45,5
46,6
47,6
48,5
49,6
50,6
51,6
52,5
53,5
54,5
55,5
56,5
57,5
58,5
59,5
60,5
61,5
62,5
63,5
64,6
65,5
66,5
67,5
68,6
69,6
70,5
71,6
72,6
73,6
74,5
75,5
76,6
77,5
78,6
79,5
80,5
81,5
82,6
83,5
84,5
85,6
86,5
87,6
88,5
89,5
90,5
91,5
92,6
93,5
94,6
95,5
96,6
97,5
98,5
99,5
100,6
101,5
102,5
103,5
104,5
105,5
106,5
107,5
108,5
109,6
110,6
111,5
112,6
113,5
114,5
115,5
116,6
117,5
118,6
119,5
120,5
121,5
122,5
123,6
124,5
125,6
126,5
127,5
128,5
129,6
130,5
131,5
132,6
133,5
134,5
135,6
136,6
137,6
138,5
139,6
140,6
141,5
142,5
143,6
144,6
145,6
146,6
147,6
148,6
149,5
150,5
151,5
152,5
153,5
154,5
155,6
156,5
157,6
158,5
159,6
160,5
161,5
162,6
163,5
164,5
165,5
166,5
167,5
168,6
169,5
170,6
171,5
172,6
173,5
174,6
175,5
176,6
177,5
178,6
179,5
180,5
181,6
182,6
183,5
184,6
185,6
186,5
187,6
188,5
189,5
190,5
191,6
192,6
193,6
194,5
195,5
196,6
197,6
198,6
199,5
200,6
201,5
202,5
203,5
204,5
205,6
206,5
207,6
208,5
209,6
210,5
211,5
212,6
213,5
214,6
215,5
216,5
217,6
218,5
219,6
220,5
221,6
222,5
223,5
224,6
225,5
226,6
227,6
228,5
229,6
230,5
231,5
232,5
233,6
234,5
235,5
236,5
237,5
238,6
239,5
240,6
241,6
242,5
243,5
244,5
245,5
246,5
247,5
248,6
249,5
250,6
251,5
252,5
253,5
254,5
255,6
256,5
257,5
258,6
259,5
260,5
261,6
262,5
263,5
264,5
265,6
266,5
267,5
268,5
269,5
270,6
271,5
272,5
273,5
274,5
275,5
276,5
277,6
278,5
279,5
280,5
281,6
282,6
283,5
284,5
285,5
286,5
287,5
288,5
289,6
290,6
291,6
292,6
293,5
294,5
295,5
296,6
297,6
298,6
299,6
300,5
301,5
302,6
303,5
304,5
305,5
306,5
307,6
308,5
309,5
310,6
311,6
312,5
313,5
314,5
315,6
316,6
317,6
318,6
319,6
320,6
321,6
322,5
323,5
324,5
325,6
326,6
327,6
328,6
329,6
330,6
331,5
332,5
333,6
334,6
335,5
336,6
337,6
338,6
339,5
340,6
341,5
342,5
343,5
344,5
345,5
346,6
347,5
348,5
349,6
350,5
351,5
352,5
353,5
354,5
355,6
356,5
357,5
358,5
359,5
360,5
361,5
362,5
363,5
364,6
365,6
366,5
367,5
368,5
369,6
370,5
371,5
372,5
373,6
374,5
375,6
376,5
377,5
378,5
379,5
380,5
381,5
382,5
383,6
384,6
385,5
386,5
387,5
388,6
389,6
390,6
391,5
392,6
393,6
394,5
395,5
396,5
397,5
398,5
399,5
400,5
401,5
402,5
403,5
404,6
405,5
406,6
407,5
408,5
409,5
410,5
411,6
412,5
413,5
414,6
415,5
416,6
417,6
418,5
419,6
420,5
421,6
422,5
423,6
424,6
425,5
426,5
427,6
428,5
429,5
430,6
431,5
432,5
433,5
434,6
435,5
436,5
437,5
438,6
439,6
440,6
441,5
442,5
443,6
444,5
445,5
446,5
447,5
448,5
449,5
450,5
451,6
452,5
453,5
454,5
455,6
456,6
457,6
458,6
459,6
460,5
461,6
462,6
463,5
464,6
465,5
466,6
467,5
468,5
469,6
470,5
471,5
472,6
473,5
474,6
475,5
476,5
477,5
478,5
479,6
480,5
481,6
482,6
483,5
484,5
485,5
486,5
487,5
488,6
489,5
490,6
491,6
492,5
493,5
494,6
495,5
496,6
497,6
498,5
499,5
500,6
501,5
502,6
503,5
504,5
505,5
506,5
507,6
508,6
509,5
510,5
511,5
512,5
513,6
514,5
515,5
516,6
517,5
518,5
519,6
520,5
521,5
522,6
523,5
524,5
525,6
526,5
527,5
528,5
529,6
530,6
531,5
532,5
533,5
534,6
535,6
536,5
537,6
538,5
539,6
540,5
541,6
542,5
543,6
544,5
545,6
546,5
547,6
548,6
549,6
550,5
551,5
552,6
553,5
554,5
555,5
556,5
557,5
558,6
559,6
560,5
561,5
562,6
563,5
564,6
565,5
566,6
567,5
568,5
569,6
570,5
571,6
572,5
573,5
574,5
575,6
576,6
577,6
578,5
579,6
580,6
581,5
582,5
583,5
584,5
585,5
586,6
587,5
588,5
589,5
590,6
591,5
592,5
593,5
594,6
595,5
596,5
597,6
598,5
599,5
600,6
601,5
602,5
603,5
604,6
605,5
606,5
607,5
608,6
609,5
610,5
611,5
612,6
613,6
614,5
615,6
616,6
617,6
618,6
619,6
620,6
621,6
622,6
623,5
624,6
625,5
626,6
627,5
628,5
629,5
630,5
631,6
632,6
633,5
634,6
635,5
636,6
637,6
638,6
639,5
640,5
641,5
642,6
